Bloom_Report_ID,Case_Assignment,Case_ID,Number_of_Blooms_Linked_to_Case,Report_Type,Bloom_Date_Created,Water_Body_Name,Official_Water_Body_Name,Landmark,County,Regional_Water_Board,Bloom_Latitude,Bloom Longitude,Bloom_Longitude,Bloom_Datum,Observation_Date,Has_Pictures,Reported_Advisory_Types,Weather_Condition,Surface_Water_Condition,Bloom_Size,Bloom_Location,Bloom_Texture,Reported_Management_Organizations,DDW_District_Office,Drinking_Water_Source,Water_Body_Manager,Rec_Land_Manager,Water_Body_Use,Water_Body_Type,Number_of_Advisories_Linked_to_Bloom,Advisory_ID,Response_Update_By,Advisory_Recommended,Advisory_Date,AdvisoryStartDate,AdvisoryEndDate,AdvisoryDetail,Advisory_Detail_Description,Advisory_Date_of_Recommendation,Spatial_Extent_of_Advisory,Extent_Unit_of_Measure,Last_Field_Result_Sample_Date,Lab_Data_Linked_to_Bloom,Field_Visual_Records_Linked_to_Bloom,Field_Measurement_Data_Linked_to_Bloom,Case_Start_Date,Case_Year,Case_Water_Body_Name,Case_Class,Case_Status,Case_Lead,Case_End_Date,Case_DateTimeStamp,HAB_Bloom_Reports_FLATFILE_ID
4692,Unassigned,0,3,Agency/Partner Reporting,8/30/2024 7:43:50 AM,Kennedy Duck Pond,,Near entrance to Kennedy Park and Napa Valley College,Napa,Region 2 - San Francisco Bay,38.26989,-122.27977,-122.27977,,8/24/2024 12:00:00 AM,No,None,Clear,Calm,between a football field and a tennis court,<10 feet from shore,Floating mats,I observed families at the water edge with a young child playing at the edge.,,Unknown,,Local Municipal Water District,,,,,,,,,,,,,,,,NO,NO,NO,,,,,,,,,1
4709,Unassigned,0,3,Agency/Partner Reporting,9/13/2024 9:31:32 AM,Unnamed private pond,,owned by Sam Larc Inc Community Parks RSM CA,San Diego,Region 9 - San Diego,32,-125,-125,,8/15/2024 12:00:00 AM,No,,,,,,Surface scum,"US EPA compliant hotline, rec'd complaint 8/15/2024. 
Need location of impacted lake. Report identifies address of the private lake owner and residential community manager.

Full Name
Tanya
Email
Tpolchies0@ivc.edu
Phone Number
9497328241
Your Address
Irvine, California. 92623
United States
Your Title and Position
Biology Student",,Unknown,,,,,,,,,,,,,,,,,,NO,NO,NO,,,,,,,,,2
4736,Unassigned,0,3,Agency/Partner Reporting,10/24/2024 1:34:32 PM,American River,,Mineral Bar campground off Iowa Hill Road,Placer,Region 5 - Central Valley,39.0996348,-120.92727,-120.92727,,10/20/2024 12:00:00 AM,No,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,NO,NO,NO,,,,,,,,,3
1442,,19,1,,8/2/2016 12:00:00 AM,San Lorenzo River Lagoon,San Lorenzo River Estuary,,Santa Cruz,Region 3 - Central Coast,36.9641173,-122.01246,-122.01246,,9/15/2015 12:00:00 AM,No,Caution,,,,,,Central Coast Water Board,,yes,City Department,City Department,,Wadeable stream,1,66,,Caution,,8/2/2016 12:00:00 AM,,,,,,,11/1/2015 12:00:00 AM,NO,NO,NO,1/1/2016 12:00:00 AM,2016,San Lorenzo River Lagoon,Event Response,Closed,MVan Dyke,12/31/2016 12:00:00 AM,,4
1436,,20,1,,7/28/2016 12:00:00 AM,klamath River,Klamath Glen Hydrologic Subarea,Klamath River from Weitchpec to Tully Creek,Humboldt,Region 1 - North Coast,41.199566,-123.75348,-123.75348,,7/13/2016 12:00:00 AM,No,NA - refer to Report Details,,,,,,North Coast Regional Water Quality Control Board,,unknown,Unknown,Unknown,,Wadeable stream,1,1429,,NA - refer to Report Details,,7/28/2016 12:00:00 AM,,,,,,,,NO,NO,NO,1/1/2016 12:00:00 AM,2016,klamath River,Event Response,Closed,MVan Dyke,12/31/2016 12:00:00 AM,,5
1432,,21,5,,7/28/2016 12:00:00 AM,klamath River,Klamath Glen Hydrologic Subarea,Klamath River,Siskiyou,Region 1 - North Coast,42.0072,-122.18879,-122.18879,,7/28/2016 12:00:00 AM,No,None,,,,,,Regional Board,,unknown,Other,Other,,Wadeable stream,1,1,,None,12/8/2016 12:00:00 AM,7/28/2016 12:00:00 AM,,,,12/8/2016 12:00:00 AM,,,12/8/2016 12:00:00 AM,NO,NO,NO,1/1/2016 12:00:00 AM,2016,klamath River,Event Response,Closed,MVan Dyke,12/31/2016 12:00:00 AM,,6
1455,Existing Case,21,5,Agency/Partner Reporting,8/29/2016 12:00:00 AM,klamath River,Klamath Glen Hydrologic Subarea,multiple locations from Iron Gate to Orleans,Siskiyou,Region 1 - North Coast,41.9309941,-122.44206,-122.44206,,8/15/2016 12:00:00 AM,No,NA - refer to Report Details,,,,,,North Coast Regional Water Quality Control Board,,,Unknown,Unknown,,Wadeable stream,1,1431,,NA - refer to Report Details,,8/29/2016 12:00:00 AM,,,,,,,,NO,NO,NO,1/1/2016 12:00:00 AM,2016,klamath River,Event Response,Closed,MVan Dyke,12/31/2016 12:00:00 AM,,7
1451,Existing Case,21,5,Public Reporting,8/15/2016 12:00:00 AM,klamath River,Klamath Glen Hydrologic Subarea,"Klamath River, below Iron Gate (KRBI)",Siskiyou,Region 1 - North Coast,41.9309941,-122.44206,-122.44206,,8/10/2016 12:00:00 AM,No,NA - refer to Report Details,,,,,,North Coast Regional Water Quality Control Board,,,Unknown,Unknown,,Wadeable stream,1,1430,,NA - refer to Report Details,,8/15/2016 12:00:00 AM,,,,,,,,NO,NO,NO,1/1/2016 12:00:00 AM,2016,klamath River,Event Response,Closed,MVan Dyke,12/31/2016 12:00:00 AM,,8
1452,Existing Case,21,5,Public Reporting,8/22/2016 12:00:00 AM,klamath River,Klamath Glen Hydrologic Subarea,"Klamath River, below Iron Gate (KRBI)",Siskiyou,Region 1 - North Coast,41.9309941,-122.44206,-122.44206,,8/15/2016 12:00:00 AM,No,NA - refer to Report Details,,,,,,North Coast Regional Water Quality Control Board,,,Unknown,Unknown,,Wadeable stream,1,1432,,NA - refer to Report Details,,8/22/2016 12:00:00 AM,,,,,,,,NO,NO,NO,1/1/2016 12:00:00 AM,2016,klamath River,Event Response,Closed,MVan Dyke,12/31/2016 12:00:00 AM,,9
1500,Existing Case,21,5,Agency/Partner Reporting,10/20/2016 12:00:00 AM,klamath River,Klamath Glen Hydrologic Subarea,multiple locations from Iron Gate to Orleans,Humboldt,Region 1 - North Coast,41.307133,-123.5311,-123.5311,,10/5/2016 12:00:00 AM,No,NA - refer to Report Details,,,,,,North Coast Regional Water Quality Control Board,,No,Unknown,Unknown,,Wadeable stream,1,1433,,NA - refer to Report Details,,10/20/2016 12:00:00 AM,,,,,,,,NO,NO,NO,1/1/2016 12:00:00 AM,2016,klamath River,Event Response,Closed,MVan Dyke,12/31/2016 12:00:00 AM,,10
